#,title,artist,URL,file,video
1,S/O le Flem,Django (Ft. Freeze Corleone & Roi Heenok ),https://genius.com/Django-s-o-le-flem-lyrics,001-Django-s-o-le-flem,https://youtu.be/TimxqtdC_I8
2,GLOWED UP,KAYTRANADA (Ft. Anderson .Paak ),https://genius.com/Kaytranada-glowed-up-lyrics,002-Kaytranada-glowed-up,https://youtu.be/yaWesK-nWts
3,Toutes les femmes savent danser,Loud,https://genius.com/Loud-toutes-les-femmes-savent-danser-lyrics,003-Loud-toutes-les-femmes-savent-danser,https://youtu.be/ukHmEZXUdqQ
4,Dans les buissons,Freeze Corleone (Ft. Osirus Jack & Roi Heenok ),https://genius.com/Freeze-corleone-dans-les-buissons-lyrics,004-Freeze-corleone-dans-les-buissons,https://youtu.be/8hO1YOFE-Ew
5,Sensuelle,Jeune Loup,https://genius.com/Jeune-loup-sensuelle-lyrics,005-Jeune-loup-sensuelle,https://youtu.be/FreNVC45GNU
6,TTTTT,Loud,https://genius.com/Loud-ttttt-lyrics,006-Loud-ttttt,https://youtu.be/8Vslu1FTK9Q
7,Devenir immortel (et puis mourir),Loud,https://genius.com/Loud-devenir-immortel-et-puis-mourir-lyrics,007-Loud-devenir-immortel-et-puis-mourir,https://youtu.be/keuA7enn7a0
8,Nouveaux riches,Loud,https://genius.com/Loud-nouveaux-riches-lyrics,008-Loud-nouveaux-riches,https://youtu.be/Cahbqs-Xk5Y
9,38 Spécial,Roi Heenok (Ft. Freeze Corleone ),https://genius.com/Roi-heenok-38-special-lyrics,009-Roi-heenok-38-special,https://youtu.be/C6bawbM1IiY
10,Gayé,FouKi,https://genius.com/Fouki-gaye-lyrics,010-Fouki-gaye,https://youtu.be/CaVG4Kq-wpw
11,56K,Loud,https://genius.com/Loud-56k-lyrics,011-Loud-56k,https://youtu.be/jNph5c1hYMs
12,Les choses se passent,L'Entourage (Ft. Casse Croute ),https://genius.com/Lentourage-les-choses-se-passent-lyrics,012-Lentourage-les-choses-se-passent,https://youtu.be/YNd-Y4D3bXk
13,Drinking in L.A.,Bran Van 3000,https://genius.com/Bran-van-3000-drinking-in-la-lyrics,013-Bran-van-3000-drinking-in-la,https://youtu.be/OQsQZvsR_QI
14,Montréal $ud,Dead Obies,https://genius.com/Dead-obies-montreal-sud-lyrics,014-Dead-obies-montreal-sud,https://youtu.be/ZLgsSG_jSC0
15,La folle,Capitaine Gaza (Ft. MB & White-B ),https://genius.com/Capitaine-gaza-la-folle-lyrics,015-Capitaine-gaza-la-folle,https://youtu.be/6mQG6WKv52g
16,XOXO,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-xoxo-lyrics,016-Loud-lary-ajust-xoxo,https://youtu.be/iEA_ZZa07jQ
17,Explosif,Dead Obies,https://genius.com/Dead-obies-explosif-lyrics,017-Dead-obies-explosif,https://youtu.be/PP0ryUDYzzs
18,Enfant de l'asphalte,Koriass,https://genius.com/Koriass-enfant-de-lasphalte-lyrics,018-Koriass-enfant-de-lasphalte,https://youtu.be/yZoipSt8POI
19,Un ours mal léché,Manu Militari,https://genius.com/Manu-militari-un-ours-mal-leche-lyrics,019-Manu-militari-un-ours-mal-leche,https://youtu.be/bsiZEDHicxs
20,Blacklights,Koriass,https://genius.com/Koriass-blacklights-lyrics,020-Koriass-blacklights,https://youtu.be/VmlXLCiGtjk
21,Le secret des dieux,Manu Militari,https://genius.com/Manu-militari-le-secret-des-dieux-lyrics,021-Manu-militari-le-secret-des-dieux,https://youtu.be/V6RJEWOc_rs
22,"Hell, What a View",Loud,https://genius.com/Loud-hell-what-a-view-lyrics,022-Loud-hell-what-a-view,https://youtu.be/7tGVXJL3F3w
23,Power - Remix,Enima,https://genius.com/Enima-power-remix-lyrics,023-Enima-power-remix,https://youtu.be/6PgAanYdKg8
24,Désirée,Yes Mccan (Ft. Cape Tula & Yuki Dreams Again ),https://genius.com/Yes-mccan-desiree-lyrics,024-Yes-mccan-desiree,https://youtu.be/AtJy7pXBa28
25,P.R.M.F,White-B,https://genius.com/White-b-prmf-lyrics,025-White-b-prmf,https://youtu.be/gCd1nbu8oII
26,"Sometimes, All The Time",Loud (Ft. Charlotte Cardin ),https://genius.com/Loud-sometimes-all-the-time-lyrics,026-Loud-sometimes-all-the-time,https://youtu.be/lwsMJrtHJf0
27,SAPOUD,Les Anticipateurs,https://genius.com/Les-anticipateurs-sapoud-lyrics,027-Les-anticipateurs-sapoud,https://youtu.be/uxatqxsFQlE
28,Je me souviens,Manu Militari,https://genius.com/Manu-militari-je-me-souviens-lyrics,028-Manu-militari-je-me-souviens,https://youtu.be/djeqDEDXo-s
29,Montréal-Nord,Koriass,https://genius.com/Koriass-montreal-nord-lyrics,029-Koriass-montreal-nord,https://youtu.be/pwbRpaMxIBI
30,Copilote,FouKi (Ft. Jay Scøtt ),https://genius.com/Fouki-copilote-lyrics,030-Fouki-copilote,https://youtu.be/5K4SwZ1Ft3g
31,For The Low,Enima,https://genius.com/Enima-for-the-low-lyrics,031-Enima-for-the-low,https://youtu.be/Tm5jIdEmbp4
32,On My Life,Loud (Ft. 20Some & Lary Kidd ),https://genius.com/Loud-on-my-life-lyrics,032-Loud-on-my-life,https://youtu.be/fkKHIyR9X3M
33,On Fouette,Tizzo & Shreez (Ft. Soft ),https://genius.com/Tizzo-and-shreez-on-fouette-lyrics,033-Tizzo-and-shreez-on-fouette,https://youtu.be/1QHbt4cGNkc
34,OUIN,Les Anticipateurs,https://genius.com/Les-anticipateurs-ouin-lyrics,034-Les-anticipateurs-ouin,https://youtu.be/rfrRx-Ygtuc
35,Blow,Enima (Ft. Lk Tha Goon & White-B ),https://genius.com/Enima-blow-lyrics,035-Enima-blow,https://youtu.be/xloXdasfhlw
36,Parler caca dans l'aile,Chloé KDL (Ft. Demon D.O.A. ),https://genius.com/Chloe-kdl-parler-caca-dans-laile-lyrics,036-Chloe-kdl-parler-caca-dans-laile,https://www.youtube.com/watch?v=j4TY-mVK0rU
37,Pour la vie,MB,https://genius.com/Mb-pour-la-vie-lyrics,037-Mb-pour-la-vie,https://youtu.be/lnpne6I5u9M
38,Ça que c’tait,Alaclair Ensemble,https://genius.com/Alaclair-ensemble-ca-que-ctait-lyrics,038-Alaclair-ensemble-ca-que-ctait,https://youtu.be/E4ym9r_YraY
39,La route est longue,Gros Big,https://genius.com/Gros-big-la-route-est-longue-lyrics,039-Gros-big-la-route-est-longue,https://youtu.be/mxukj68N_dQ?t=13
40,Makeup,FouKi,https://genius.com/Fouki-makeup-lyrics,040-Fouki-makeup,https://youtu.be/-0T2XZbNfyQ
41,Dis moi,Corops,https://genius.com/Corops-dis-moi-lyrics,041-Corops-dis-moi,https://youtu.be/fRTzQfwT9Jc
42,Dans la nuit,Cœur de Pirate (Ft. Loud ),https://genius.com/Cur-de-pirate-dans-la-nuit-lyrics,042-Cur-de-pirate-dans-la-nuit,https://youtu.be/a494JG9OGwQ
43,Devenir Fou,Koriass,https://genius.com/Koriass-devenir-fou-lyrics,043-Koriass-devenir-fou,https://www.youtube.com/watch?v=6BhIQblfTEs
44,Mauvais garçons,White-B,https://genius.com/White-b-mauvais-garcons-lyrics,044-White-b-mauvais-garcons,https://youtu.be/IeZi1kMjqac
45,Johnny,Dead Obies,https://genius.com/Dead-obies-johnny-lyrics,045-Dead-obies-johnny,https://youtu.be/3PEGVHx0QuA
46,A l'aise,Enima,https://genius.com/Enima-a-laise-lyrics,046-Enima-a-laise,https://youtu.be/hQGCplZaxBI
47,Mode de vie,White-B & MB,https://genius.com/White-b-and-mb-mode-de-vie-lyrics,047-White-b-and-mb-mode-de-vie,https://youtu.be/J_VSWsM453E
48,Godbless The Topless,Black Taboo,https://genius.com/Black-taboo-godbless-the-topless-lyrics,048-Black-taboo-godbless-the-topless,https://youtu.be/jpWB99Y4HAY
49,Libérez-nous des libéraux,Loco Locass,https://genius.com/Loco-locass-liberez-nous-des-liberaux-lyrics,049-Loco-locass-liberez-nous-des-liberaux,https://youtu.be/HeT1KBkEdno
50,24 heures à vivre,White-B (Ft. Random (QC) ),https://genius.com/White-b-24-heures-a-vivre-lyrics,050-White-b-24-heures-a-vivre,https://youtu.be/xhDF3H72bFM
51,Nana,Lorenzo (Ft. Les Anticipateurs ),https://genius.com/Lorenzo-nana-lyrics,051-Lorenzo-nana,https://youtu.be/qWXV39OGKGc
