#,title,artist,href
1,S/O le Flem,Django (Ft. Freeze Corleone & Roi Heenok ),https://genius.com/Django-s-o-le-flem-lyrics
2,GLOWED UP,KAYTRANADA (Ft. Anderson .Paak ),https://genius.com/Kaytranada-glowed-up-lyrics
3,Toutes les femmes savent danser,Loud,https://genius.com/Loud-toutes-les-femmes-savent-danser-lyrics
4,Dans les buissons,Freeze Corleone (Ft. Osirus Jack & Roi Heenok ),https://genius.com/Freeze-corleone-dans-les-buissons-lyrics
5,Sensuelle,Jeune Loup,https://genius.com/Jeune-loup-sensuelle-lyrics
6,TTTTT,Loud,https://genius.com/Loud-ttttt-lyrics
7,Devenir immortel (et puis mourir),Loud,https://genius.com/Loud-devenir-immortel-et-puis-mourir-lyrics
8,Nouveaux riches,Loud,https://genius.com/Loud-nouveaux-riches-lyrics
9,38 Spécial,Roi Heenok (Ft. Freeze Corleone ),https://genius.com/Roi-heenok-38-special-lyrics
10,Gayé,FouKi,https://genius.com/Fouki-gaye-lyrics
11,56K,Loud,https://genius.com/Loud-56k-lyrics
12,Les choses se passent,L'Entourage (Ft. Casse Croute ),https://genius.com/Lentourage-les-choses-se-passent-lyrics
13,Drinking in L.A.,Bran Van 3000,https://genius.com/Bran-van-3000-drinking-in-la-lyrics
14,Montréal $ud,Dead Obies,https://genius.com/Dead-obies-montreal-sud-lyrics
15,La folle,Capitaine Gaza (Ft. MB & White-B ),https://genius.com/Capitaine-gaza-la-folle-lyrics
16,XOXO,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-xoxo-lyrics
17,Explosif,Dead Obies,https://genius.com/Dead-obies-explosif-lyrics
18,Enfant de l'asphalte,Koriass,https://genius.com/Koriass-enfant-de-lasphalte-lyrics
19,Un ours mal léché,Manu Militari,https://genius.com/Manu-militari-un-ours-mal-leche-lyrics
20,Blacklights,Koriass,https://genius.com/Koriass-blacklights-lyrics
21,Le secret des dieux,Manu Militari,https://genius.com/Manu-militari-le-secret-des-dieux-lyrics
22,"Hell, What a View",Loud,https://genius.com/Loud-hell-what-a-view-lyrics
23,Power - Remix,Enima,https://genius.com/Enima-power-remix-lyrics
24,Désirée,Yes Mccan (Ft. Cape Tula & Yuki Dreams Again ),https://genius.com/Yes-mccan-desiree-lyrics
25,P.R.M.F,White-B,https://genius.com/White-b-prmf-lyrics
26,"Sometimes, All The Time",Loud (Ft. Charlotte Cardin ),https://genius.com/Loud-sometimes-all-the-time-lyrics
27,SAPOUD,Les Anticipateurs,https://genius.com/Les-anticipateurs-sapoud-lyrics
28,Je me souviens,Manu Militari,https://genius.com/Manu-militari-je-me-souviens-lyrics
29,Montréal-Nord,Koriass,https://genius.com/Koriass-montreal-nord-lyrics
30,Copilote,FouKi (Ft. Jay Scøtt ),https://genius.com/Fouki-copilote-lyrics
31,For The Low,Enima,https://genius.com/Enima-for-the-low-lyrics
32,On My Life,Loud (Ft. 20Some & Lary Kidd ),https://genius.com/Loud-on-my-life-lyrics
33,On Fouette,Tizzo & Shreez (Ft. Soft ),https://genius.com/Tizzo-and-shreez-on-fouette-lyrics
34,OUIN,Les Anticipateurs,https://genius.com/Les-anticipateurs-ouin-lyrics
35,Blow,Enima (Ft. Lk Tha Goon & White-B ),https://genius.com/Enima-blow-lyrics
36,Parler caca dans l'aile,Chloé KDL (Ft. Demon D.O.A. ),https://genius.com/Chloe-kdl-parler-caca-dans-laile-lyrics
37,Pour la vie,MB,https://genius.com/Mb-pour-la-vie-lyrics
38,Ça que c’tait,Alaclair Ensemble,https://genius.com/Alaclair-ensemble-ca-que-ctait-lyrics
39,La route est longue,Gros Big,https://genius.com/Gros-big-la-route-est-longue-lyrics
40,Makeup,FouKi,https://genius.com/Fouki-makeup-lyrics
41,Dis moi,Corops,https://genius.com/Corops-dis-moi-lyrics
42,Dans la nuit,Cœur de Pirate (Ft. Loud ),https://genius.com/Cur-de-pirate-dans-la-nuit-lyrics
43,Devenir Fou,Koriass,https://genius.com/Koriass-devenir-fou-lyrics
44,Mauvais garçons,White-B,https://genius.com/White-b-mauvais-garcons-lyrics
45,Johnny,Dead Obies,https://genius.com/Dead-obies-johnny-lyrics
46,A l'aise,Enima,https://genius.com/Enima-a-laise-lyrics
47,Mode de vie,White-B & MB,https://genius.com/White-b-and-mb-mode-de-vie-lyrics
