#,title,artist,href,file,title (max32)
1,S/O le Flem,Django (Ft. Freeze Corleone & Roi Heenok ),https://genius.com/Django-s-o-le-flem-lyrics,Django-s-o-le-flem,Django-s-o-le-flem
2,GLOWED UP,KAYTRANADA (Ft. Anderson .Paak ),https://genius.com/Kaytranada-glowed-up-lyrics,Kaytranada-glowed-up,Kaytranada-glowed-up
3,Toutes les femmes savent danser,Loud,https://genius.com/Loud-toutes-les-femmes-savent-danser-lyrics,Loud-toutes-les-femmes-savent-danser,Loud-toutes-les-femmes-savent-da
4,Dans les buissons,Freeze Corleone (Ft. Osirus Jack & Roi Heenok ),https://genius.com/Freeze-corleone-dans-les-buissons-lyrics,Freeze-corleone-dans-les-buissons,Freeze-corleone-dans-les-buisson
5,Sensuelle,Jeune Loup,https://genius.com/Jeune-loup-sensuelle-lyrics,Jeune-loup-sensuelle,Jeune-loup-sensuelle
6,TTTTT,Loud,https://genius.com/Loud-ttttt-lyrics,Loud-ttttt,Loud-ttttt
7,Devenir immortel (et puis mourir),Loud,https://genius.com/Loud-devenir-immortel-et-puis-mourir-lyrics,Loud-devenir-immortel-et-puis-mourir,Loud-devenir-immortel-et-puis-mo
8,Nouveaux riches,Loud,https://genius.com/Loud-nouveaux-riches-lyrics,Loud-nouveaux-riches,Loud-nouveaux-riches
9,38 Spécial,Roi Heenok (Ft. Freeze Corleone ),https://genius.com/Roi-heenok-38-special-lyrics,Roi-heenok-38-special,Roi-heenok-38-special
10,Gayé,FouKi,https://genius.com/Fouki-gaye-lyrics,Fouki-gaye,Fouki-gaye
11,56K,Loud,https://genius.com/Loud-56k-lyrics,Loud-56k,Loud-56k
12,Les choses se passent,L'Entourage (Ft. Casse Croute ),https://genius.com/Lentourage-les-choses-se-passent-lyrics,Lentourage-les-choses-se-passent,Lentourage-les-choses-se-passent
13,Drinking in L.A.,Bran Van 3000,https://genius.com/Bran-van-3000-drinking-in-la-lyrics,Bran-van-3000-drinking-in-la,Bran-van-3000-drinking-in-la
14,Montréal $ud,Dead Obies,https://genius.com/Dead-obies-montreal-sud-lyrics,Dead-obies-montreal-sud,Dead-obies-montreal-sud
15,La folle,Capitaine Gaza (Ft. MB & White-B ),https://genius.com/Capitaine-gaza-la-folle-lyrics,Capitaine-gaza-la-folle,Capitaine-gaza-la-folle
16,XOXO,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-xoxo-lyrics,Loud-lary-ajust-xoxo,Loud-lary-ajust-xoxo
17,Explosif,Dead Obies,https://genius.com/Dead-obies-explosif-lyrics,Dead-obies-explosif,Dead-obies-explosif
18,Enfant de l'asphalte,Koriass,https://genius.com/Koriass-enfant-de-lasphalte-lyrics,Koriass-enfant-de-lasphalte,Koriass-enfant-de-lasphalte
19,Un ours mal léché,Manu Militari,https://genius.com/Manu-militari-un-ours-mal-leche-lyrics,Manu-militari-un-ours-mal-leche,Manu-militari-un-ours-mal-leche
20,Blacklights,Koriass,https://genius.com/Koriass-blacklights-lyrics,Koriass-blacklights,Koriass-blacklights
21,Le secret des dieux,Manu Militari,https://genius.com/Manu-militari-le-secret-des-dieux-lyrics,Manu-militari-le-secret-des-dieux,Manu-militari-le-secret-des-dieu
22,"Hell, What a View",Loud,https://genius.com/Loud-hell-what-a-view-lyrics,Loud-hell-what-a-view,Loud-hell-what-a-view
23,Power - Remix,Enima,https://genius.com/Enima-power-remix-lyrics,Enima-power-remix,Enima-power-remix
24,Désirée,Yes Mccan (Ft. Cape Tula & Yuki Dreams Again ),https://genius.com/Yes-mccan-desiree-lyrics,Yes-mccan-desiree,Yes-mccan-desiree
25,P.R.M.F,White-B,https://genius.com/White-b-prmf-lyrics,White-b-prmf,White-b-prmf
26,"Sometimes, All The Time",Loud (Ft. Charlotte Cardin ),https://genius.com/Loud-sometimes-all-the-time-lyrics,Loud-sometimes-all-the-time,Loud-sometimes-all-the-time
27,SAPOUD,Les Anticipateurs,https://genius.com/Les-anticipateurs-sapoud-lyrics,Les-anticipateurs-sapoud,Les-anticipateurs-sapoud
28,Je me souviens,Manu Militari,https://genius.com/Manu-militari-je-me-souviens-lyrics,Manu-militari-je-me-souviens,Manu-militari-je-me-souviens
29,Montréal-Nord,Koriass,https://genius.com/Koriass-montreal-nord-lyrics,Koriass-montreal-nord,Koriass-montreal-nord
30,Copilote,FouKi (Ft. Jay Scøtt ),https://genius.com/Fouki-copilote-lyrics,Fouki-copilote,Fouki-copilote
31,For The Low,Enima,https://genius.com/Enima-for-the-low-lyrics,Enima-for-the-low,Enima-for-the-low
32,On My Life,Loud (Ft. 20Some & Lary Kidd ),https://genius.com/Loud-on-my-life-lyrics,Loud-on-my-life,Loud-on-my-life
33,On Fouette,Tizzo & Shreez (Ft. Soft ),https://genius.com/Tizzo-and-shreez-on-fouette-lyrics,Tizzo-and-shreez-on-fouette,Tizzo-and-shreez-on-fouette
34,OUIN,Les Anticipateurs,https://genius.com/Les-anticipateurs-ouin-lyrics,Les-anticipateurs-ouin,Les-anticipateurs-ouin
35,Blow,Enima (Ft. Lk Tha Goon & White-B ),https://genius.com/Enima-blow-lyrics,Enima-blow,Enima-blow
36,Parler caca dans l'aile,Chloé KDL (Ft. Demon D.O.A. ),https://genius.com/Chloe-kdl-parler-caca-dans-laile-lyrics,Chloe-kdl-parler-caca-dans-laile,Chloe-kdl-parler-caca-dans-laile
37,Pour la vie,MB,https://genius.com/Mb-pour-la-vie-lyrics,Mb-pour-la-vie,Mb-pour-la-vie
38,Ça que c’tait,Alaclair Ensemble,https://genius.com/Alaclair-ensemble-ca-que-ctait-lyrics,Alaclair-ensemble-ca-que-ctait,Alaclair-ensemble-ca-que-ctait
39,La route est longue,Gros Big,https://genius.com/Gros-big-la-route-est-longue-lyrics,Gros-big-la-route-est-longue,Gros-big-la-route-est-longue
40,Makeup,FouKi,https://genius.com/Fouki-makeup-lyrics,Fouki-makeup,Fouki-makeup
41,Dis moi,Corops,https://genius.com/Corops-dis-moi-lyrics,Corops-dis-moi,Corops-dis-moi
42,Dans la nuit,Cœur de Pirate (Ft. Loud ),https://genius.com/Cur-de-pirate-dans-la-nuit-lyrics,Cur-de-pirate-dans-la-nuit,Cur-de-pirate-dans-la-nuit
43,Devenir Fou,Koriass,https://genius.com/Koriass-devenir-fou-lyrics,Koriass-devenir-fou,Koriass-devenir-fou
44,Mauvais garçons,White-B,https://genius.com/White-b-mauvais-garcons-lyrics,White-b-mauvais-garcons,White-b-mauvais-garcons
45,Johnny,Dead Obies,https://genius.com/Dead-obies-johnny-lyrics,Dead-obies-johnny,Dead-obies-johnny
46,A l'aise,Enima,https://genius.com/Enima-a-laise-lyrics,Enima-a-laise,Enima-a-laise
47,Mode de vie,White-B & MB,https://genius.com/White-b-and-mb-mode-de-vie-lyrics,White-b-and-mb-mode-de-vie,White-b-and-mb-mode-de-vie
48,Godbless The Topless,Black Taboo,https://genius.com/Black-taboo-godbless-the-topless-lyrics,Black-taboo-godbless-the-topless,Black-taboo-godbless-the-topless
49,Libérez-nous des libéraux,Loco Locass,https://genius.com/Loco-locass-liberez-nous-des-liberaux-lyrics,Loco-locass-liberez-nous-des-liberaux,Loco-locass-liberez-nous-des-lib
50,24 heures à vivre,White-B (Ft. Random (QC) ),https://genius.com/White-b-24-heures-a-vivre-lyrics,White-b-24-heures-a-vivre,White-b-24-heures-a-vivre
51,Nana,Lorenzo (Ft. Les Anticipateurs ),https://genius.com/Lorenzo-nana-lyrics,Lorenzo-nana,Lorenzo-nana
52,Médailles,Loud,https://genius.com/Loud-medailles-lyrics,Loud-medailles,Loud-medailles
53,Where They @,Dead Obies,https://genius.com/Dead-obies-where-they-lyrics,Dead-obies-where-they,Dead-obies-where-they
54,Éléphant,Koriass,https://genius.com/Koriass-elephant-lyrics,Koriass-elephant,Koriass-elephant
55,Intro (MMS1),Enima,https://genius.com/Enima-intro-mms1-lyrics,Enima-intro-mms1,Enima-intro-mms1
56,Chacun sa manière,Souldia (Ft. Enima & Fou Furieux ),https://genius.com/Souldia-chacun-sa-maniere-lyrics,Souldia-chacun-sa-maniere,Souldia-chacun-sa-maniere
57,Iceberg,Lost,https://genius.com/Lost-iceberg-lyrics,Lost-iceberg,Lost-iceberg
58,Vérité,Lost (Ft. White-B ),https://genius.com/Lost-verite-lyrics,Lost-verite,Lost-verite
59,Jugg,Izzy-S (Ft. Enima ),https://genius.com/Izzy-s-jugg-lyrics,Izzy-s-jugg,Izzy-s-jugg
60,Chill?,Tizzo & Shreez,https://genius.com/Tizzo-and-shreez-chill-lyrics,Tizzo-and-shreez-chill,Tizzo-and-shreez-chill
